FGD1	ADNP	0.96046746008712	0.96046746008712
HOPX	ADNP	-1	1
MBNL2	ADNP	-0.599056854589844	0.599056854589844
NR3C1	ADNP	-0.64677800714154	0.64677800714154
MBNL1	CSDC2	-0.524985055492575	0.524985055492575
MBNL2	CSDC2	-0.655198560499843	0.655198560499843
NR3C1	CSDC2	-0.676610263967056	0.676610263967056
NFKB1	DLX1	-0.561742100229081	0.561742100229081
HOPX	FGD1	-0.73278717933447	0.73278717933447
JAZF1	FGD1	0.704509585644352	0.704509585644352
MAFB	FGD1	0.511251049541812	0.511251049541812
MBNL1	FGD1	-0.500350940450322	0.500350940450322
MBNL2	FGD1	-0.79067254823233	0.79067254823233
MYT1L	FGD1	0.707824248088999	0.707824248088999
NR3C1	FGD1	-0.63852227574046	0.63852227574046
SOX5	FGD1	0.784352351080385	0.784352351080385
ZBTB4	FGD1	-0.685968921207262	0.685968921207262
ZNF589	FGD1	0.596902782118897	0.596902782118897
HOPX	GATAD2B	-0.574036232593716	0.574036232593716
SETBP1	HOPX	-0.589804511559723	0.589804511559723
ZNF589	HOPX	-0.507191473441533	0.507191473441533
MBNL1	JAZF1	-0.596784264515786	0.596784264515786
MBNL2	JAZF1	-0.905194700308469	0.905194700308469
NR3C1	JAZF1	-0.827972903522842	0.827972903522842
ZBTB4	JAZF1	-0.534377314640227	0.534377314640227
MBNL1	MAFB	-0.507391634747052	0.507391634747052
MBNL2	MAFB	-0.585436498024633	0.585436498024633
MYCN	MAFB	0.665651936325801	0.665651936325801
NR3C1	MAFB	-0.555638068197066	0.555638068197066
NR3C1	MBNL2	0.606937093389983	0.606937093389983
SETBP1	MBNL2	-0.50895283336405	0.50895283336405
SOX5	MBNL2	-0.622061399589225	0.622061399589225
ZNF311	MBNL2	-0.555017633850121	0.555017633850121
PRRX1	MYCN	-0.5118062914407	0.5118062914407
NR3C1	MYT1L	-0.510776780844119	0.510776780844119
SETBP1	MYT1L	0.564451084356897	0.564451084356897
NR3C1	NR1D2	0.52054466081751	0.52054466081751
SETBP1	NR3C1	-0.536446563206974	0.536446563206974
ZNF311	NR3C1	-0.542249017934284	0.542249017934284
ZBTB4	SMAD1	-0.621898331672533	0.621898331672533
ZBTB4	SOX5	-0.887160472140168	0.887160472140168
