CUL4B	AHDC1	-0.611418411233611	0.611418411233611
SSRP1	ATF6	-0.544096346974977	0.544096346974977
IKZF5	ATF7	-0.561320613197698	0.561320613197698
MXD4	ATF7	-0.507216560130567	0.507216560130567
PAX6	ATF7	-0.715866737765055	0.715866737765055
RORB	ATF7	-0.57499157576056	0.57499157576056
TBX10	BAZ2B	-0.660376102232587	0.660376102232587
XBP1	BAZ2B	-0.597127795711938	0.597127795711938
HMGB2	BDP1	-0.72796522372343	0.72796522372343
PAX6	BDP1	-0.53051030453975	0.53051030453975
REPIN1	BDP1	-0.515881532120534	0.515881532120534
ZFP28	BDP1	-0.609344383714809	0.609344383714809
ZNF432	BDP1	-0.906787280557406	0.906787280557406
ZRSR2	BDP1	-0.700920568170021	0.700920568170021
ZSCAN21	BDP1	-0.572427587542005	0.572427587542005
DNAJC2	CARHSP1	-0.528489794191524	0.528489794191524
NR1D2	CARHSP1	-0.642609975033409	0.642609975033409
NR2C1	CARHSP1	-0.590905069098068	0.590905069098068
SSRP1	CARHSP1	-0.56040634892955	0.56040634892955
TRIM3	CARHSP1	-0.616205958652128	0.616205958652128
ZNF432	CARHSP1	-0.534280030372863	0.534280030372863
MAF	CREM	-0.72011782481975	0.72011782481975
TRIT1	CREM	-0.50359594745887	0.50359594745887
ZNF608	CREM	-0.569845628860308	0.569845628860308
MBNL2	CSDC2	-0.545809505069957	0.545809505069957
NR1D2	CSDC2	-0.609950341420726	0.609950341420726
NR2C1	CSDC2	-0.555777263200994	0.555777263200994
NR3C1	CSDC2	-0.5962462577253	0.5962462577253
RNF114	CSDC2	-0.609477407144607	0.609477407144607
TRIM3	CSDC2	-0.59617460099745	0.59617460099745
PAX6	CUL4B	-0.58471911001754	0.58471911001754
REPIN1	CUL4B	-0.623581895967778	0.623581895967778
TBX10	CUL4B	-0.891613134149285	0.891613134149285
XBP1	CUL4B	-0.574030267431026	0.574030267431026
ZNF384	DNAJC2	-0.690514143771497	0.690514143771497
REPIN1	ETV1	-0.618652965591916	0.618652965591916
TBX10	ETV1	-0.589759406654593	0.589759406654593
TFAP4	ETV1	-0.56168497830537	0.56168497830537
XBP1	ETV1	-0.546302141980097	0.546302141980097
TERF1	EXOC2	-0.552148519202758	0.552148519202758
LARP6	FBXO41	-0.511792038316425	0.511792038316425
PRRX1	FBXO41	-0.689700039635526	0.689700039635526
IKZF5	FGD1	-0.525405585426864	0.525405585426864
MBNL2	FGD1	-0.613924563670066	0.613924563670066
NR1D2	FGD1	-0.509914211472604	0.509914211472604
NR3C1	FGD1	-0.506434653349963	0.506434653349963
PAX6	FGD1	-0.741132672044536	0.741132672044536
REPIN1	FGD1	-0.562336853754084	0.562336853754084
ZNF432	FGD1	-0.763284946609348	0.763284946609348
IKZF5	FOXK1	-0.556427165390762	0.556427165390762
IKZF5	GATAD2B	-0.610345196070583	0.610345196070583
STAT2	GTF2F1	-0.598774049894031	0.598774049894031
MYT1L	HMGB2	-0.582246989126777	0.582246989126777
ZNF317	HMGB2	-0.537125397825683	0.537125397825683
MYT1L	IKZF5	-0.74968402600512	0.74968402600512
RC3H1	IKZF5	-0.54253880153236	0.54253880153236
UNKL	IKZF5	-0.532308345418116	0.532308345418116
ZNF384	IKZF5	-0.678366534581611	0.678366534581611
ZNF277	IRF9	-0.722984053815753	0.722984053815753
ZNF295	IRF9	-0.50487472208181	0.50487472208181
MBNL2	JAZF1	-0.595457524903203	0.595457524903203
NR3C1	JAZF1	-0.688009725560179	0.688009725560179
RNF114	JAZF1	-0.523121490102782	0.523121490102782
MYT1L	LARP6	-0.812008978093336	0.812008978093336
ZNF264	LARP6	-0.723888497105079	0.723888497105079
ZNF346	LARP6	-0.708373316513526	0.708373316513526
ZNF384	LARP6	-0.738165619567868	0.738165619567868
ZNF781	LARP6	-0.545327752014441	0.545327752014441
NR2C1	MAEL	-0.534745785656197	0.534745785656197
SSRP1	MAEL	-0.635676680321096	0.635676680321096
UNKL	MAEL	0.540396139840221	0.540396139840221
ZNF432	MAEL	-0.642198001056237	0.642198001056237
ZRSR2	MAEL	-0.571888138131929	0.571888138131929
NR2C1	MAF	-0.521711081142789	0.521711081142789
