1,1,1
2,1,2
3,1,3
4,2,4
5,2,5
6,2,3
7,3,6
8,3,3
9,4,7
10,4,5
11,4,8
12,5,9
13,5,10
14,6,11
15,6,3
16,7,12
17,7,5
18,7,8
19,8,13
20,8,14
21,8,15
22,9,16
23,9,17
24,9,18
25,10,19
26,10,20
27,10,21
28,11,1
29,11,2
30,11,3
31,12,22
32,12,5
33,12,8
34,13,19
35,13,20
36,13,23
37,14,24
38,14,25
39,14,26
40,15,27
41,15,28
42,17,29
43,17,30
44,17,31
45,18,1
46,18,3
47,19,29
48,19,32
49,19,33
50,22,1
51,22,34
52,22,3
53,23,35
54,23,32
55,23,36
56,24,5
57,24,37
58,25,24
59,25,32
60,25,38
61,26,32
62,27,39
63,27,32
64,27,36
65,28,32
66,28,36
67,29,40
68,29,41
69,29,42
70,30,29
71,30,43
72,30,3
73,31,44
74,31,20
75,33,45
76,33,32
77,33,46
78,34,39
79,34,32
80,34,47
81,35,3
82,37,32
83,38,20
84,38,48
85,39,49
86,40,50
87,40,32
88,40,26
89,42,22
90,42,5
91,42,37
92,43,51
93,43,52
94,44,22
95,44,5
96,44,53
97,45,20
98,45,54
99,46,29
100,46,55
101,50,32
102,51,56
103,51,57
104,51,58
105,52,12
106,52,5
107,52,37
108,53,59
109,53,5
110,53,60
111,54,39
112,54,32
113,54,47
114,55,12
115,55,5
116,55,8
117,56,12
118,56,5
119,56,8
120,57,22
121,57,61
122,57,37
123,58,9
124,58,62
125,58,63
126,59,64
127,59,5
128,59,8
129,60,65
130,61,29
131,61,55
132,62,32
133,63,58
134,64,66
135,64,32
136,64,67
137,65,68
138,66,3
139,67,69
140,67,34
141,67,70
142,68,22
143,68,61
144,68,37
145,70,32
146,71,71
147,71,72
148,72,73
149,72,5
150,72,74
151,79,1
152,79,61
153,79,3
154,80,31
155,81,75
156,82,76
157,82,77
158,82,8
159,84,5
160,84,10
161,85,3
162,87,78
163,87,32
164,87,26
165,88,68
166,88,17
167,91,27
168,91,63
