1,6468
2,5887
3,166
4,6260
5,5634
6,6457
7,6183
8,3700
9,7165
10,5509
11,6512
12,6355
13,6470
14,5856
15,4725
16,6874
17,5576
18,8009
19,6118
20,5783
21,4497
22,6350
23,5506
24,6810
25,5624
26,4872
27,6464
28,4835
29,6508
30,5615
31,4867
32,16020
33,4222
34,5737
35,15031
36,8270
37,3677
38,5215
39,6811
40,15986
41,16469
42,46933
43,5739
44,6506
45,30001
46,46873
47,5216
48,16757
49,5488
50,7155
51,5578
52,5201
53,287
54,5525
55,4252
56,16567
57,151
58,3676
59,7605
60,3779
61,5622
62,267
63,3824
64,5975
65,3960
66,6954
67,4888
68,9613
69,8285
70,1786
71,7601
72,4745
73,6511
74,4197
75,5529
76,6352
77,126
78,6897
79,5515
80,7186
81,1584
82,31072
83,6725
84,43087
85,5096
86,6601
87,8168
88,6629
89,4435
90,1915
91,4571
92,30655
93,8800
94,6695
95,5777
96,45598
97,5669
98,7154
99,5249
100,5436
101,4180
102,45449
103,775
104,6471
105,3956
106,5524
107,16338
108,5923
109,5198
110,6886
111,16021
112,8565
113,7018
114,5874
115,6096
116,4618
117,5085
118,5254
119,6955
120,6919
121,6306
122,270
123,7050
124,8076
125,5245
126,9615
127,5125
128,5886
129,16301
130,6633
131,5769
132,910
133,31424
134,7242
135,6626
136,49
137,3924
138,30154
139,6357
140,8152
141,4065
142,4726
143,51301
144,7275
145,6915
146,6605
147,42803
148,6125
149,4791
150,7049
151,5794
152,15297
153,214
154,213
155,5179
156,1675
157,1669
158,8234
159,6364
160,4871
161,4460
162,9058
163,309
164,6820
165,5452
166,46983
167,19478
168,16788
169,74
170,8233
171,15629
172,4842
173,160
174,155
175,5089
176,5871
177,3777
178,118
179,4407
180,16787
181,16740
182,6091
183,19882
184,4386
185,6936
186,5102
187,1558
188,1530
189,4198
190,4175
191,9055
192,6006
193,3756
194,138
195,9101
196,8378
197,42981
198,5829
199,7264
200,8158
201,3746
202,5891
203,30528
204,31177
205,1539
206,9288
207,30259
208,16758
209,32003
210,6461
211,42734
212,5083
213,4245
214,156
215,42829
216,1525
217,4890
218,5921
219,6486
220,7010
221,16012
222,7223
223,6892
224,8083
225,6812
226,8324
227,42129
228,16337
229,5932
230,8201
231,4527
232,80
233,6281
234,30036
235,165
236,3713
237,7268
238,8021
239,15285
240,1733
241,7166
242,5057
243,42177
244,19899
245,9253
246,8415
247,6334
248,786
249,42802
250,16491
251,6869
252,8289
253,7217
254,122
255,119
256,6813
257,6412
258,46907
259,5858
260,7156
261,5911
262,1514
263,5604
264,5882
265,30212
266,19028
267,5996
268,15171
269,398
270,4629
271,6952
272,7205
273,4143
274,19861
275,8146
276,15844
277,6548
278,16153
279,6313
280,4129
281,3950
282,5351
283,45
284,7582
285,4182
286,5123
287,48503
288,16459
289,3774
290,4759
291,226
292,4674
293,1501
294,44237
295,8360
296,4866
297,7548
298,5922
299,6807
300,16810
301,6968
302,1726
303,4289
304,5625
305,5098
306,6139
307,5337
308,42773
309,8137
310,6527
311,5789
312,5344
313,7267
314,46875
315,3893
316,5158
317,15299
318,6333
319,785
320,3682
321,5680
322,16180
323,32039
324,6926
325,3755
326,6661
327,4428
328,8376
329,6396
330,9986
331,4672
332,6270
333,4370
334,4190
335,42309
336,50825
337,51205
338,31849
339,16023
340,6941
341,5863
342,6587
343,6520
344,8483
345,6100
346,4459
347,45121
348,6909
349,139
350,51082
351,6805
352,30145
353,175
354,32012
355,5086
356,6024
357,5797
358,6535
359,4122
360,5764
361,6233
362,6259
363,18193
364,30176
365,4597
366,5900
367,3735
368,16055
369,5200
370,62
371,6814
372,7041
373,3943
374,16798
375,6959
376,6665
377,4758
378,4653
379,922
